"binder_name","binder_evolution_type","binder_target","binder_experiment","staining_0_nM","staining_0.1_nM","staining_1_nM","staining_10_nM","staining_100_nM","coculture CAR Only","coculture K562","coculture K562 BCMA OE","coculture K562 CD19 OE","coculture K562 CD22 OE","coculture Raji","coculture Raji CD19 OE","coculture Raji CD19 KO","coculture RPMI 8226","coculture Nalm6","coculture Nalm6 CD22 OE","coculture DG-75","coculture Ramos","coculture SET-2","coculture U937","coculture A549","coculture Hela","coculture MDA-MB-468","mean_BCMA_positive_activity","max_BCMA_negative_activity","mean_CD19_positive_activity","max_CD19_negative_activity","mean_CD22_positive_activity","max_CD22_negative_activity","BCMA_activity_gain","BCMA_activity_ratio","CD19_activity_gain","CD19_activity_ratio","CD22_activity_gain","CD22_activity_ratio","overall_activity_gain","overall_activity_ratio","overall_mean_positive_activity","overall_max_negative_activity","estimated_Kd","nls_kd","nls_kd_scaled","sp_kd","sp_kd_scaled","kd_fit_quality","kd_R2","Kd_estimate_nM_clipped","Kd_estimate_molar","neg_log10_Kd_M","clipped_neg_log10_Kd_M"
"CD19_l112_int_3265","interface","CD19","CD19_l112",0.17,0.16,0.12,0.13,0.17,2.87,3.78,NA,7.77,NA,10.6,NA,10.7,NA,NA,NA,4.11,3.05,NA,NA,NA,NA,NA,NA,NA,9.185,10.7,NA,NA,NA,NA,6.315,3.20034843205575,NA,NA,6.315,3.20034843205575,9.185,10.7,343271.772237874,-0.0115214823890555,-0.0679484532940626,58205.8823529412,343271.772237874,"Compromise (Single Point Estimate)",-12.8060696774122,343271.772237874,0.000343271772237874,3.46436190780454,6
"CD19_l112_int_4066","interface","CD19","CD19_l112",0.17,0.29,0.22,0.23,0.31,88.5,90.6,NA,90,NA,94.6,NA,94.9,NA,NA,NA,92.3,91.8,NA,NA,NA,NA,NA,NA,NA,92.3,94.9,NA,NA,NA,NA,3.8,1.04293785310734,NA,NA,3.8,1.04293785310734,92.3,94.9,187979.469869766,-0.0117644509032656,-0.0693813708807282,31874.1935483871,187979.469869766,"Compromise (Single Point Estimate)",-1.67262099043617,187979.469869766,0.000187979469869766,3.72588957950835,6
"CD19_l112_int_4372","interface","CD19","CD19_l112",0.19,0.18,0.2,0.18,0.26,84.6,86.5,NA,87,NA,91.4,NA,91.7,NA,NA,NA,88.1,86.9,NA,NA,NA,NA,NA,NA,NA,89.2,91.7,NA,NA,NA,NA,4.60000000000001,1.05437352245863,NA,NA,4.60000000000001,1.05437352245863,89.2,91.7,224242.782235945,0.0211645649439005,0.12481896027076,38023.0769230769,224242.782235945,"Compromise (Single Point Estimate)",-7.80328282821487,224242.782235945,0.000224242782235945,3.64928152681474,6
"CD19_l112_int_4756","interface","CD19","CD19_l112",0.2,0.094,0.14,0.11,0.15,24.2,25,NA,38.9,NA,57.9,NA,57.7,NA,NA,NA,35.5,28.2,NA,NA,NA,NA,NA,NA,NA,48.4,57.7,NA,NA,NA,NA,24.2,2,NA,NA,24.2,2,48.4,57.7,389119.975794172,0.0412478621735317,0.243261096249257,65980,389119.975794172,"Compromise (Single Point Estimate)",-5.10150118445328,389119.975794172,0.000389119975794172,3.40991647375936,6
"CD19_l112_int_wildtype","parental","CD19","CD19_l112",0.85,3.79,60.5,98.3,99.4,17.4,19.6,NA,35.4,NA,47,NA,46,NA,NA,NA,26.2,21.1,NA,NA,NA,NA,NA,NA,NA,41.2,46,NA,NA,NA,NA,23.8,2.36781609195402,NA,NA,23.8,2.36781609195402,41.2,46,4.6154298015437,0.782601966615393,4.6154298015437,NA,NA,"Good (Curve Fit)",0.990887379567541,1000,4.6154298015437e-09,8.33578785005577,8.33578785005577
"CD19_l112_NB","neg_control","CD19","CD19_l112",0.1,0.16,0.18,0.25,0.22,5.44,8.66,NA,15.5,NA,24.2,NA,25.5,NA,NA,NA,9.53,6.22,NA,NA,NA,NA,NA,NA,NA,19.85,25.5,NA,NA,NA,NA,14.41,3.64889705882353,NA,NA,14.41,3.64889705882353,19.85,25.5,265121.42526691,0.0436365693739797,0.257348602887901,44954.5454545455,265121.42526691,"Compromise (Single Point Estimate)",0.100713119073986,265121.42526691,0.00026512142526691,3.57655517419371,6
"CD19_l112_nonint_0508","non-interface","CD19","CD19_l112",0.95,0.73,0.93,1.17,25.2,21.6,22.8,NA,26,NA,37,NA,38.4,NA,NA,NA,22.1,20.2,NA,NA,NA,NA,NA,NA,NA,31.5,38.4,NA,NA,NA,NA,9.9,1.45833333333333,NA,NA,9.9,1.45833333333333,31.5,38.4,1729.94634080465,NA,NA,293.333333333333,1729.94634080465,"Compromise (Single Point Estimate)",NA,1729.94634080465,1.72994634080465e-06,5.76196736753818,6
"CD19_l112_nonint_0615","non-interface","CD19","CD19_l112",0.94,1.25,27,96.4,99.3,9.94,12.5,NA,21.4,NA,35.7,NA,33.9,NA,NA,NA,14.5,11,NA,NA,NA,NA,NA,NA,NA,28.55,33.9,NA,NA,NA,NA,18.61,2.87223340040241,NA,NA,18.61,2.87223340040241,28.55,33.9,13.6674485325267,2.31748126612012,13.6674485325267,NA,NA,"Good (Curve Fit)",0.983948307492166,1000,1.36674485325267e-08,7.86431255285486,7.86431255285486
"CD19_l112_nonint_0872","non-interface","CD19","CD19_l112",1.79,0.8,0.96,2.34,65.4,23,24.9,NA,38.9,NA,53,NA,49.8,NA,NA,NA,30.9,25,NA,NA,NA,NA,NA,NA,NA,45.95,49.8,NA,NA,NA,NA,22.95,1.99782608695652,NA,NA,22.95,1.99782608695652,45.95,49.8,304.075222122251,NA,NA,51.5596330275229,304.075222122251,"Compromise (Single Point Estimate)",NA,1000,3.04075222122251e-07,6.51701896734024,6.51701896734024
"CD19_l112_nonint_0999","non-interface","CD19","CD19_l112",1.77,1.17,1.33,1.16,5.81,38.8,37.2,NA,52.1,NA,68.9,NA,67.9,NA,NA,NA,55.3,43.1,NA,NA,NA,NA,NA,NA,NA,60.5,67.9,NA,NA,NA,NA,21.7,1.55927835051546,NA,NA,21.7,1.55927835051546,60.5,67.9,9471.5983254077,57.8681652946357,341.28007091091,1606.02409638554,9471.5983254077,"Compromise (Single Point Estimate)",0.634873575020457,9471.5983254077,9.4715983254077e-06,5.0235767279309,6
"CD19_l112_nonint_1470","non-interface","CD19","CD19_l112",0.87,0.93,10.7,91.4,98.3,17.8,18.8,NA,25.6,NA,32.8,NA,32.3,NA,NA,NA,18.3,17.7,NA,NA,NA,NA,NA,NA,NA,29.2,32.3,NA,NA,NA,NA,11.4,1.64044943820225,NA,NA,11.4,1.64044943820225,29.2,32.3,21.6587150331578,3.6724971905417,21.6587150331578,0.834181078331645,4.91961990009649,"Good (Curve Fit)",0.965169633608661,1000,2.16587150331578e-08,7.6643673127413,7.6643673127413
"CD19_l112_nonint_2659","non-interface","CD19","CD19_l112",1.31,2.65,1.56,19.6,84.8,61,52.9,NA,54.7,NA,61.6,NA,59.9,NA,NA,NA,67.3,54.5,NA,NA,NA,NA,NA,NA,NA,58.15,61,NA,NA,NA,NA,-2.84999999999999,0.95327868852459,NA,NA,-2.84999999999999,0.95327868852459,58.15,61,348.130482881523,59.0297355298789,348.130482881523,16.8867924528302,99.5906073126175,"Good (Curve Fit)",0.998441512533259,1000,3.48130482881523e-07,6.45825794750679,6.45825794750679
