binder_id,CD19_M1F_R1,CD19_M1F_R2,CD19_M1_R1,CD19_M1_R2,CD19_M2F_R1,CD19_M2F_R2,CD19_M2_R1,CD19_M2_R2,CD19_M3F_R1,CD19_M3F_R2,CD19_parental_R1,CD19_parental_R2,CD19_parental_mean,CD19_M1_mean,CD19_M2_mean,CD19_M1F_mean,CD19_M2F_mean,CD19_M3F_mean,binder_name
i26_66_dldesign_6,4.23326,18.8157,12366.1,1477.64,15.269,0.831877,31.6459,173.593,6.71774,8.56285,2.03348,8.64595,5.339715,6921.87,102.61945,11.52448,8.0504385,7.640295,i26_66_dldesign_6
i27_62_dldesign_6,944.935,3.83029,15573.9,3345.15,19.4094,1.64432,51.1717,353.878,12.2363,15.4415,6.32307,17.3973,11.860185000000001,9459.525,202.52485,474.38264499999997,10.526860000000001,13.838899999999999,i27_62_dldesign_6
i27_93_dldesign_2,0.0981902,0.0,28.9198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4599,0.0,0.0490951,0.0,0.0,i27_93_dldesign_2
i28_21_dldesign_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i28_21_dldesign_0
i28_65_dldesign_3,0.883712,0.730333,1424.99,0.425841,2.70965,0.173052,14367.3,51.9823,1.86035,79.3036,0.491064,1.68956,1.090312,712.7079205,7209.6411499999995,0.8070225,1.441351,40.581975,i28_65_dldesign_3
i29_54_dldesign_3,5.42125,4.3868,2849.1,1.69414,12.5739,0.616434,20.5212,196.367,5.45909,9.26345,15637.7,10863.9,13250.8,1425.39707,108.44409999999999,4.904025,6.595167,7.36127,i29_54_dldesign_3
i30_35_dldesign_2,2.9806,1.49801,4969.24,4505.1,8.89836,11.5753,18.9215,148.079,5.11318,6.70641,2.71804,3.89681,3.307425,4737.17,83.50025000000001,2.239305,10.236830000000001,5.909795,i30_35_dldesign_2
i30_65_dldesign_7,0.278377,0.302017,1068.1,0.0900687,1.9767,0.047246,3.14478,31.1455,1.13874,0.169266,0.139193,1.50732,0.8232565000000001,534.09503435,17.145139999999998,0.290197,1.011973,0.654003,i30_65_dldesign_7
i31_15_dldesign_8,35.4189,116.725,337.427,119.369,49.5394,50.6606,118.185,682.334,26.3151,32.5345,42330.5,23177.8,32754.15,228.39800000000002,400.2595,76.07195,50.1,29.4248,i31_15_dldesign_8
i32_94_dldesign_0,1.28579,1.09934,1997.67,374.375,3.46999,0.169346,6.15611,45.8022,0.734708,1.80706,0.55965,1.2506,0.905125,1186.0225,25.979155,1.192565,1.819668,1.2708840000000001,i32_94_dldesign_0
i33_12_dldesign_2,1.94504,0.364504,5197.62,0.787848,5.92498,10.5831,9.32261,73.576,2.89405,74.9898,0.796826,2.50453,1.650678,2599.203924,41.449304999999995,1.1547720000000001,8.25404,38.941925,i33_12_dldesign_2
i33_163_dldesign_0,3526.32,1.50807,1615.06,2.82293,2.27477,1.80394,4.4598,25.5078,0.897106,0.929556,0.354184,0.528283,0.44123349999999995,808.941465,14.9838,1763.914035,2.039355,0.913331,i33_163_dldesign_0
