binder_id,BCMA_M100-CD22_1,BCMA_M100-CD22_2,BCMA_M1000_1,BCMA_M1000_2,BCMA_M100_1,BCMA_M100_2,BCMA_M500_1,BCMA_Parental_1,BCMA_Parental_2,BCMA_parental_mean,BCMA_M1000_mean,BCMA_M500_mean,BCMA_M100_mean
BCMA_l50_s161492_mpnn1,0.0,0.0,20.3486,22.3099,0.213905,0.0,0.022501,4476.18,4240.44,4358.3099999999995,21.329250000000002,0.022501,0.1069525
BCMA_l50_s161492_mpnn14,0.0,2114.13,527.939,522.201,178.931,160.161,363.751,9587.04,9582.47,9584.755000000001,525.0699999999999,363.751,169.546
BCMA_l51_s395146_mpnn5,114837.0,83056.9,82684.8,77863.5,37904.7,36941.3,92061.7,36888.4,36264.8,36576.600000000006,80274.15,92061.7,37423.0
BCMA_l51_s395146_mpnn6,55357.5,56746.9,42792.4,41254.5,67677.2,65656.4,40486.7,13557.6,13723.7,13640.650000000001,42023.45,40486.7,66666.79999999999
BCMA_l51_s424569_mpnn2,588.909,5674.69,513.666,462.721,0.3019,0.482403,109.737,20228.4,20261.8,20245.1,488.19350000000003,109.737,0.3921515
BCMA_l51_s424569_mpnn6,588.909,2063.53,50.1292,47.4823,0.0,0.0,0.0434343,2627.25,2533.09,2580.17,48.80575,0.0434343,0.0
BCMA_l51_s968329_mpnn13,11778.2,12381.2,8464.46,7988.44,1.05665,0.804005,7007.07,41701.1,41250.2,41475.649999999994,8226.449999999999,7007.07,0.9303275
BCMA_l52_s270570_mpnn1,44495.4,37089.0,46891.5,45937.0,17089.9,16845.8,58176.4,32713.6,33248.8,32981.2,46414.25,58176.4,16967.85
BCMA_l52_s270570_mpnn2,11680.0,30744.8,17616.2,17317.8,996.936,961.686,22315.9,25562.7,26063.1,25812.9,17467.0,22315.9,979.311
BCMA_l52_s63704_mpnn2,8342.88,8784.23,21798.3,20432.3,1339.39,1276.64,30223.2,14302.5,13663.1,13982.8,21115.3,30223.2,1308.015
BCMA_l52_s913863_mpnn1,3893.35,0.0,59.7377,64.85,0.329644,0.186895,14.5621,11737.0,11513.6,11625.3,62.29384999999999,14.5621,0.2582695
BCMA_l52_s971981_mpnn2,2780.96,2928.08,133.854,140.467,71.6265,71.6181,250.989,31263.9,32227.5,31745.7,137.1605,250.989,71.6223
BCMA_l52_s971981_mpnn6,1112.38,488.013,6.03214,5.34929,0.565472,0.336411,6.37319,14260.2,14409.1,14334.650000000001,5.690715,6.37319,0.4509415
BCMA_l53_s202423_mpnn3,3688.43,1852.0,294.822,290.795,0.383146,0.457603,238.927,11229.3,11160.7,11195.0,292.8085,238.927,0.4203745
BCMA_l53_s445237_mpnn1,3688.43,4167.0,169.057,168.959,0.0957866,0.419469,11.6565,20574.8,20568.6,20571.699999999997,169.00799999999998,11.6565,0.25762779999999996
BCMA_l53_s445237_mpnn2,526.919,0.0,0.100212,0.0,0.335253,0.381336,0.0,7920.43,7945.99,7933.21,0.050106,0.0,0.3582945
BCMA_l53_s46576_mpnn14,3161.51,5556.01,413.272,389.526,0.957866,1.10587,554.652,41738.7,42751.1,42244.899999999994,401.399,554.652,1.031868
BCMA_l53_s847868_mpnn2,75876.3,53708.1,65840.0,67903.5,129422.0,122027.0,65710.8,18197.9,18335.0,18266.45,66871.75,65710.8,125724.5
BCMA_l53_s977918_mpnn1,6849.95,6482.01,4342.01,4287.53,130.131,107.616,3433.84,10329.1,10396.2,10362.650000000001,4314.77,3433.84,118.8735
BCMA_l53_s977918_mpnn2,12119.1,15742.0,14615.5,13650.7,3755.69,3699.26,10622.2,25057.1,25241.3,25149.199999999997,14133.1,10622.2,3727.4750000000004
BCMA_l54_s17866_mpnn1,0.0,2642.56,1235.96,1150.87,0.0,0.122492,804.869,3294.97,3116.5,3205.7349999999997,1193.415,804.869,0.061246
BCMA_l54_s17866_mpnn3,0.0,0.0,438.868,456.718,0.0,0.0,116.641,951.094,923.888,937.491,447.793,116.641,0.0
BCMA_l54_s542607_mpnn18,0.0,13653.2,402.863,395.347,1555.62,1648.82,517.453,20708.8,21507.5,21108.15,399.105,517.453,1602.2199999999998
BCMA_l54_s542607_mpnn3,1501.72,11010.7,801.759,825.583,0.276628,0.244984,289.535,11042.1,11274.0,11158.05,813.671,289.535,0.260806
BCMA_l54_s662851_mpnn3,0.0,2642.56,0.0,0.0409983,0.138314,0.204153,110.505,8924.23,8317.13,8620.68,0.02049915,110.505,0.17123349999999998
BCMA_l54_s662851_mpnn8,3504.01,440.427,63.7222,57.4796,0.230523,0.204153,39.2333,3602.3,3612.6,3607.45,60.600899999999996,39.2333,0.217338
BCMA_l54_s816947_mpnn1,6006.88,7046.84,2363.32,2653.49,13.5086,16.8222,7398.87,11729.2,12118.6,11923.900000000001,2508.4049999999997,7398.87,15.165399999999998
BCMA_l54_s816947_mpnn2,18020.6,18497.9,46529.8,51065.0,10256.7,10542.1,54768.4,26437.8,27584.3,27011.05,48797.4,54768.4,10399.400000000001
BCMA_l54_s948800_mpnn1,500.573,440.427,5.35564,4.7148,0.184418,0.0816613,0.0409961,8282.54,7826.14,8054.34,5.035220000000001,0.0409961,0.13303965
BCMA_l54_s948800_mpnn2,1001.15,4844.7,181.695,183.795,0.138314,0.204153,66.8236,7352.58,7104.62,7228.6,182.745,66.8236,0.17123349999999998
BCMA_l55_s115882_mpnn10,476.736,3359.62,68.9424,69.6393,658.742,739.15,122.928,11849.3,11289.0,11569.15,69.29085,122.928,698.9459999999999
BCMA_l55_s27921_mpnn16,15255.6,28556.8,32074.5,33267.9,30460.0,33075.0,38605.1,11130.7,11173.4,11152.05,32671.2,38605.1,31767.5
BCMA_l55_s27921_mpnn7,4290.63,839.906,1.17024,1.06133,0.64272,0.298698,0.041855,8013.05,7901.67,7957.360000000001,1.115785,0.041855,0.470709
BCMA_l55_s286551_mpnn1,27650.7,16798.1,20869.6,21352.5,914.958,1028.8,21625.3,16567.3,17029.7,16798.5,21111.05,21625.3,971.8789999999999
BCMA_l55_s286551_mpnn3,43859.7,28556.8,11497.8,11274.2,7989.19,8895.41,19303.2,8402.13,8378.05,8390.09,11386.0,19303.2,8442.3
BCMA_l55_s454112_mpnn2,953.472,0.0,10.176,8.73553,0.183634,0.128014,6.57123,5883.0,5733.99,5808.495,9.455765,6.57123,0.155824
BCMA_l55_s454112_mpnn4,4290.63,8819.01,4344.24,3928.78,662.415,738.98,6166.62,7054.45,7029.68,7042.0650000000005,4136.51,6166.62,700.6975
BCMA_l55_s655034_mpnn1,23360.1,12598.6,27272.8,28105.6,22977.0,25108.9,32869.1,7416.48,7375.18,7395.83,27689.199999999997,32869.1,24042.95
BCMA_l55_s655034_mpnn2,24313.5,17218.1,33389.7,36944.8,41272.9,44227.4,34386.7,9080.93,9524.44,9302.685000000001,35167.25,34386.7,42750.15
BCMA_l55_s723674_mpnn2,476.736,0.0,0.0,0.0,0.0,0.0426712,0.125565,2166.39,2050.0,2108.1949999999997,0.0,0.125565,0.0213356
BCMA_l55_s723674_mpnn3,0.0,419.953,0.0,0.0,0.0,0.0,0.0,734.259,714.037,724.148,0.0,0.0,0.0
BCMA_l55_s770821_mpnn12,3813.89,5879.34,137.122,135.605,0.0,0.0426712,194.856,2450.7,2384.15,2417.425,136.3635,194.856,0.0213356
BCMA_l56_s2375_mpnn1,0.0,0.0,0.0,0.0,0.0452282,0.0,0.0,744.944,695.116,720.03,0.0,0.0,0.0226141
