binder_id,M1000_Rep1,M1000_Rep2,M100_Rep1,M100_Rep2,M500_Rep1,M500_Rep2,Parental_Rep1,CD22_parental_mean,CD22_1000_mean,CD22_500_mean,CD22_100_mean
CD22_l56_s173048_mpnn1,31.3596,2.76986,3.94099,25.4651,5.5598,9.62657,10173.1,10173.1,17.06473,7.593185,14.703045
CD22_l56_s216547_mpnn1,10.2387,0.0710222,2.46587,12.5098,1.34606,4.81329,3921.27,3921.27,5.1548611,3.079675,7.4878350000000005
CD22_l56_s216547_mpnn2,16.4404,0.0710222,1.87142,19.0432,3.04326,1.997,4272.0,4272.0,8.255711100000001,2.52013,10.45731
CD22_l56_s263643_mpnn1,12.9885,0.142044,2.59797,9.13181,3.21883,3.994,6903.95,6903.95,6.565272,3.606415,5.86489
CD22_l56_s263643_mpnn2,4.27099,0.284089,1.01277,8.72348,3.97965,3.68677,5525.3,5525.3,2.2775395,3.8332100000000002,4.868125
CD22_l56_s383311_mpnn1,33.1733,13.5652,7.55174,20.825,5.91095,13.5694,14130.1,14130.1,23.36925,9.740175,14.188369999999999
CD22_l56_s539291_mpnn1,25.1579,0.781244,3.41259,12.1386,3.27736,5.01811,8117.56,8117.56,12.969572000000001,4.147735,7.775595
CD22_l56_s62565_mpnn1,17.4935,3.12498,4.27124,12.9182,1.28753,0.0,7540.82,7540.82,10.30924,0.643765,8.59472
CD22_l56_s869053_mpnn1,24.5728,0.99431,5.37208,23.1636,4.74046,15.6688,17013.0,17013.0,12.783555,10.20463,14.26784
CD22_l56_s934730_mpnn1,51.2518,7.10222,8.45442,22.8666,10.944,12.1868,21406.4,21406.4,29.177010000000003,11.5654,15.660509999999999
CD22_l56_s959129_mpnn1,17.435,0.284089,6.7151,8.90908,1.52163,3.994,5294.76,5294.76,8.8595445,2.757815,7.8120899999999995
CD22_l57_s550386_mpnn1,28.2179,3.43943,3.36285,16.3196,3.98047,8.5465,18749.4,18749.4,15.828665,6.263485,9.841225000000001
CD22_l57_s901676_mpnn1,10.8745,0.132286,1.64802,5.27359,4.48503,1.54513,4204.45,4204.45,5.503393,3.01508,3.460805
CD22_l57_s969626_mpnn1,124.415,136.717,420.578,517.56,5943.29,13356.2,25133.2,25133.2,130.566,9649.745,469.06899999999996
CD22_l58_s309778_mpnn1,11.3468,0.0,2.44633,4.07675,1.18361,0.548166,473.997,473.997,5.6734,0.865888,3.26154
CD22_l58_s371750_mpnn1,7.56457,1.60916,2.04235,9.83215,1.34501,5.71007,2395.86,2395.86,4.5868649999999995,3.52754,5.937250000000001
CD22_l58_s900072_mpnn1,6.5524,4.64181,2.35656,13.121,2.04441,1.6445,3916.74,3916.74,5.597105,1.844455,7.73878
CD22_l58_s941372_mpnn1,23.333,2.78508,2.80542,9.2155,2.47481,7.72001,6993.39,6993.39,13.05904,5.09741,6.01046
CD22_l59_s245749_mpnn1,7.24063,0.116305,0.0,8.08167,5.01182,4.89769,2935.72,2935.72,3.6784675,4.9547550000000005,4.040835
CD22_l59_s498005_mpnn1,21.8749,1.86088,2.94689,16.7901,5.14913,2.2538,7452.42,7452.42,11.867890000000001,3.7014650000000002,9.868495
