,new_id,binder_unique_id
1,C2.I11,CD19_l115_int_0362
2,C2.I10,CD19_l115_int_3770
3,C2.N11,CD19_l115_nonint_1810
4,C2.I9,CD19_l115_int_3208
5,C2.I8,CD19_l115_int_1633
6,C2.N10,CD19_l115_nonint_4004
7,C2.N9,CD19_l115_nonint_4002
8,C2.N8,CD19_l115_nonint_2376
9,C2.I7,CD19_l115_int_1249
10,C2.N7,CD19_l115_nonint_0547
11,C2.N6,CD19_l115_nonint_4959
12,C2.I6,CD19_l115_int_4864
13,C2.N5,CD19_l115_nonint_4561
14,C2.N4,CD19_l115_nonint_4784
15,C2.I5,CD19_l115_int_4304
16,C2.I4,CD19_l115_int_1328
17,C2.N3,CD19_l115_nonint_1314
18,C2.N2,CD19_l115_nonint_3533
19,C2.I3,CD19_l115_int_3971
20,C2.I2,CD19_l115_int_0203
21,C2.N1,CD19_l115_nonint_1986
22,C2.I1,CD19_l115_int_4516
23,C2.I0,CD19_l115_int_2621
24,C2.N0,CD19_l115_nonint_0190
