"binder_id","BCMA_M100.CD22_1","BCMA_M100.CD22_2","BCMA_M1000_1","BCMA_M1000_2","BCMA_M100_1","BCMA_M100_2","BCMA_M500_1","BCMA_Parental_1","BCMA_Parental_2","BCMA_parental_mean","BCMA_M1000_mean","BCMA_M500_mean","BCMA_M100_mean","is_selected","BCMA_parental_occupancy","logFC_100","logFC_1000","under_fc100_bcma_binders"
"BCMA_l59_s903443_mpnn1",400.458,0,203.566,220.768,845.717,877.971,113.055,72.56,70.7868,71.6734,212.167,113.055,861.844,FALSE,7.16733921696819e-05,3.58791705574604,1.565690581052,FALSE
"BCMA_l59_s903443_mpnn2",17219.7,7482.58,10268.3,9992.17,36480,38390.9,11718,1950.71,1817.13,1883.92,10130.235,11718,37435.45,TRUE,0.00188391979418176,4.31259548891782,2.42685803417039,FALSE
"BCMA_l60_s290304_mpnn7",385.056,359.251,0.0442466,0,0.0405776,0.0358513,0.0186659,2005.41,1771.11,1888.26,0.0221233,0.0186659,0.03821445,FALSE,0.00188825979370762,-15.5925796351111,-16.3811313018893,FALSE
"BCMA_l60_s318546_mpnn14",13862,7544.26,18841.4,19438.8,31.123,43.4518,24105.6,23245.7,24849.1,24047.4,19140.1,24105.6,37.2874,FALSE,0.0240473973728218,-9.33297699975114,-0.329282551136719,FALSE
"BCMA_l60_s318546_mpnn2",1155.17,7903.51,196.278,194.295,49.8293,51.0881,95.0841,8828.07,8895.04,8861.555,195.2865,95.0841,50.4587,FALSE,0.00886155403187522,-7.45631303300477,-5.50389575551436,FALSE
"BCMA_l60_s451103_mpnn13",0,2874,2.03534,2.25722,0.284043,0.107554,2.53856,4883.88,4851.43,4867.655,2.14628,2.53856,0.1957985,FALSE,0.00486765446820875,-14.6015695861579,-11.1471729039706,FALSE
"BCMA_l60_s542430_mpnn1",11551.7,22632.8,15996.1,16789.9,48574.7,48837.2,13717.8,3321.15,3271.57,3296.36,16393,13717.8,48705.95,TRUE,0.00329635963987271,3.88515231015977,2.31413418397629,FALSE
"BCMA_l60_s542430_mpnn3",6160.9,6825.76,5639.76,5643.57,8806.56,9011.01,6636.78,2573.96,2516.34,2545.15,5641.665,6636.78,8908.785,FALSE,0.00254514972194239,1.80747800225341,1.1483703168269,FALSE
"BCMA_l60_s719112_mpnn1",56603.3,53169.1,26144.1,27430.7,78752.3,80031.5,31458,6595.84,6766.12,6680.98,26787.4,31458,79391.9,TRUE,0.00668097927010301,3.57086017800914,2.003422914036,FALSE
"BCMA_l60_s719112_mpnn2",8856.29,7903.51,12938.8,12477.7,12214.7,12018.6,14508.7,6539.07,5921.12,6230.095,12708.25,14508.7,12116.65,FALSE,0.00623009431936219,0.959664811415733,1.0284393089586,FALSE
"BCMA_l60_s74483_mpnn8",0,2514.75,0.619452,0.520897,0.0405776,0.0358513,4.96513,2298.45,2228.9,2263.675,0.5701745,4.96513,0.03821445,FALSE,0.00226367475269353,-15.8541890505125,-11.9549757033445,FALSE
"BCMA_l60_s880275_mpnn3",0,0,37.8308,42.8872,0.0811552,0.179257,56.6884,4872.12,4775.65,4823.885,40.359,56.6884,0.1302061,FALSE,0.00482388447299062,-15.1771108551485,-6.90116127566072,FALSE
"BCMA_l61_s10456_mpnn3",1853.97,2764.08,140.744,116.614,0.19227,0.23664,57.0093,8229.83,8262.26,8246.045,128.679,57.0093,0.214455,FALSE,0.00824604409911968,-15.2307397611397,-6.001853799589,FALSE
"BCMA_l61_s2373_mpnn5",12977.8,5182.65,9337.09,9443.14,26779.5,26283.6,10183.6,2298.69,2266.65,2282.67,9390.115,10183.6,26531.55,TRUE,0.00228266975061833,3.53891474886466,2.04042051880434,FALSE
"BCMA_l61_s2373_mpnn8",8528.28,6564.7,5694.72,5532.46,17745.5,18142.2,5981.75,3088.73,2811.2,2949.965,5613.59,5981.75,17943.85,TRUE,0.00294996467771636,2.60471972274306,0.928225859870015,FALSE
"BCMA_l61_s23834_mpnn11",1112.38,691.021,259.874,251.082,0.19227,0.169029,316.067,7028.64,7040.66,7034.65,255.478,316.067,0.1806495,FALSE,0.00703464923146457,-15.248997763655,-4.7832076791071,FALSE
"BCMA_l61_s440343_mpnn11",1483.18,345.51,135.763,134.144,357.353,389.341,30.5739,9633.39,9383.22,9508.305,134.9535,30.5739,373.347,FALSE,0.00950830396121779,-4.67059913813159,-6.138653883175,FALSE
"BCMA_l61_s460170_mpnn8",0,1036.53,486.44,439.661,50.1056,49.9311,317.155,5330.5,5283.4,5306.95,463.0505,317.155,50.01835,FALSE,0.00530694942021578,-6.72928167924829,-3.51864150970336,FALSE
"BCMA_l61_s460170_mpnn9",13348.6,8983.27,8560.34,5881.91,5274.05,5569.9,12147.2,3020.98,2863.39,2942.185,7221.125,12147.2,5421.975,FALSE,0.00294218467856632,0.881930497260543,1.29533565240868,FALSE
"BCMA_l61_s550568_mpnn3",17056.6,16239,52747.8,50824.2,540.279,548.836,1734.77,3773.86,3661.09,3717.475,51786,1734.77,544.5575,TRUE,0.0037174745938659,-2.77116674346655,3.80016718232583,TRUE
"BCMA_l61_s550568_mpnn5",5932.72,2418.57,6090.95,6082.97,409.036,427.237,7901.65,5090.09,4656.72,4873.405,6086.96,7901.65,418.1365,FALSE,0.00487340446758056,-3.54288423157816,0.320791763880784,FALSE
"BCMA_l62_s160084_mpnn7",0,3660.61,87.4247,82.0783,0.0389453,0.160994,0,5446.5,5147.41,5296.955,84.7515,0,0.09996965,FALSE,0.00529695442130773,-15.693313556301,-5.96578053967444,FALSE
"BCMA_l62_s183346_mpnn4",0,332.782,0,0,0,0,0,863.605,808.237,835.921,0,0,0,FALSE,0.000835920908675641,-Inf,-Inf,FALSE
"BCMA_l62_s255865_mpnn16",8581.25,5990.08,18899.3,18779.1,831.988,779.823,568.907,591.256,578.817,585.0365,18839.2,568.907,805.9055,FALSE,0.000585036436084769,0.462084042913702,5.00906725629482,FALSE
"BCMA_l62_s336460_mpnn7",357.552,3993.39,1.40296,0.494076,0,0.0643976,69.4693,1646.51,1674.33,1660.42,0.948518,69.4693,0.0321988,FALSE,0.00166041981859913,-15.6541817667614,-10.7735854422989,FALSE
"BCMA_l62_s694444_mpnn2",0,4326.17,82.7749,67.6882,0,0.0965964,28.8614,2992.38,2826.82,2909.6,75.23155,28.8614,0.0482982,FALSE,0.00290959968212623,-15.8784918823164,-5.27333920607953,FALSE
"BCMA_l62_s694444_mpnn3",0,0,0.521101,0.339831,0,0.0321988,2.56352,579.956,475.619,527.7875,0.430466,2.56352,0.0160994,FALSE,0.000527787442339222,-15.0006626398491,-10.2598421752165,FALSE
"BCMA_l62_s854335_mpnn1",11084.1,4991.74,14605.2,13881.1,5319.81,5251.21,22149.3,14857.5,14255.8,14556.65,14243.15,22149.3,5285.51,FALSE,0.0145566484096862,-1.46156378918855,-0.031410132079313,FALSE
