cytokine,construct,target,rep1,rep2,rep3,donor
TNFa,UTD,K562 mC,0,0,0,2
TNFa,UTD,K BCMA mC,0,0,0,2
TNFa,UTD,Raji,0,0,0,2
TNFa,UTD,RPMI mC,0,0,589.54,2
TNFa,NB,CAR alone,88.966,0,0,2
TNFa,NB,K562 mC,0,0,0,2
TNFa,NB,K BCMA mC,0,186.774,0,2
TNFa,NB,Raji,125.378,171.646,239.385,2
TNFa,NB,RPMI mC,0,0,0,2
TNFa,Abecma,CAR alone,99.504,0,213.675,2
TNFa,Abecma,K562 mC,97.843,186.774,628.676,2
TNFa,Abecma,K BCMA mC,4077.248,4445.347,3619.9,2
TNFa,Abecma,Raji,649.535,851.612,709.466,2
TNFa,Abecma,RPMI mC,1526.248,1503.635,1390.236,2
TNFa,B2,CAR alone,0,202.393,0,2
TNFa,B2,K562 mC,0,206.693,0,2
TNFa,B2,K BCMA mC,695.921,695.4,1030.752,2
TNFa,B2,Raji,0,168.94,0,2
TNFa,B2,RPMI mC,339.801,480.774,436.19,2
TNFa,B5,CAR alone,108.34,379.91,165.69,2
TNFa,B5,K562 mC,0,785.498,0,2
TNFa,B5,K BCMA mC,6282.374,4339.564,6084.19,2
TNFa,B5,Raji,929.183,1136.601,870.353,2
TNFa,B5,RPMI mC,1769.018,1589.423,1727.206,2
IFNG,UTD,CAR alone,0,0,0,2
IFNG,UTD,K562 mC,0,0,0,2
IFNG,UTD,K BCMA mC,0,42.42,0,2
IFNG,UTD,Raji,0,11.415,0,2
IFNG,UTD,RPMI mC,0,45.642,56.418,2
IFNG,NB,CAR alone,0,0,42.134,2
IFNG,NB,K562 mC,0,30.957,0,2
IFNG,NB,K BCMA mC,0,26.204,41.372,2
IFNG,NB,Raji,0,58.344,46.539,2
IFNG,NB,RPMI mC,0,44.567,54.081,2
IFNG,Abecma,CAR alone,0,14.486,42.516,2
IFNG,Abecma,K562 mC,0,46.718,48.85,2
IFNG,Abecma,K BCMA mC,5939.736,5885.563,6224.106,2
IFNG,Abecma,Raji,913.507,857.738,840.765,2
IFNG,Abecma,RPMI mC,3016.35,3060.431,3058.474,2
IFNG,B2,CAR alone,0,12.691,0,2
IFNG,B2,K562 mC,0,0,0,2
IFNG,B2,K BCMA mC,1281.832,1221.161,1343.838,2
IFNG,B2,Raji,39.231,56.444,86.803,2
IFNG,B2,RPMI mC,970.852,823.981,850.65,2
IFNG,B5,CAR alone,0,0,0,2
IFNG,B5,K562 mC,0,0,0,2
IFNG,B5,K BCMA mC,2323.406,2309.785,2367.068,2
IFNG,B5,Raji,198.77,198.879,230.693,2
IFNG,B5,RPMI mC,957.351,990.238,974.608,2
IL-2,UTD,CAR alone,0,0,0,2
IL-2,UTD,K562 mC,9.6555,0,0,2
IL-2,UTD,K BCMA mC,0,0,0,2
IL-2,UTD,Raji,0,0,0,2
IL-2,UTD,RPMI mC,0,0,0,2
IL-2,NB,CAR alone,0,0,0,2
IL-2,NB,K562 mC,0,0,0,2
IL-2,NB,K BCMA mC,0,0,0,2
IL-2,NB,Raji,0,0,0,2
IL-2,NB,RPMI mC,0,0,0,2
IL-2,Abecma,CAR alone,12.0165,0,0,2
IL-2,Abecma,K562 mC,8.8635,0,0,2
IL-2,Abecma,K BCMA mC,905.031,830.5335,800.094,2
IL-2,Abecma,Raji,64.014,0,0,2
IL-2,Abecma,RPMI mC,116.5095,53.16,41.922,2
IL-2,B2,CAR alone,10.446,0,34.296,2
IL-2,B2,K562 mC,0,0,0,2
