CAR,CAR Only,K562 Parental,RPMI 8226,Raji,K562 BCMA,Replicate
UTD,7.59,12.7,35.2,16.7,17,1
No Binder,6.35,6.33,11.8,24.3,19.8,1
Abecma,10.9,9.72,68,67.5,87.2,1
561726_original,19,21.3,59.3,53.1,80,1
UTD,11.8,14.9,29.5,18.4,15.7,2
No Binder,7.29,7.34,12.3,23.9,7.83,2
Abecma,14.7,13.2,66.1,77.9,82.3,2
561726_original,18.4,20.3,60.7,75.2,77.1,2
UTD,3.26,6.67,24.3,16.7,12.9,3
No Binder,1.95,2.96,8.4,22.8,2.91,3
Abecma,3.67,5.53,56.9,86.3,90.2,3
561726_original,11.8,14.1,52.4,67.4,74.9,3
