Mouse,Treatment,Mass,Rep
1,Vehicle,1,1
2,UTD,0.6,1
3,Abecma,0,1
4,B5.I0,0,1
5,Vehicle,0.8,2
6,UTD,0.6,2
7,Abecma,0,2
8,B5.I0,0,2
9,Vehicle,1,3
10,UTD,0.2,3
11,Abecma,0,3
12,B5.I0,0,3
13,Vehicle,1.1,4
14,UTD,1.4,4
15,Abecma,0,4
16,B5.I0,0,4
17,Vehicle,0.6,5
18,UTD,1.2,5
19,Abecma,0,5
20,B5.I0,0,5
