elapsed_hours,cellline,donor,NB,Abecma,X561726_WT,int_1525,nonint_0366
48,K562,donor2,24.13519,29.88572,27.76242,17.30649,36.50121
52,K562,donor2,30.32549,34.5377,34.78403,25.24675,42.12265
56,K562,donor2,36.82654,40.09083,42.30139,25.0767,52.86213
60,K562,donor2,43.46128,50.24408,50.98334,41.68948,66.189
64,K562,donor2,51.95818,59.22668,71.11353,53.75433,81.9779
68,K562,donor2,63.09188,69.54328,84.86186,73.59832,96.60907
72,K562,donor2,68.70579,84.69208,98.67103,89.24236,107.7739
0,K562 BCMA,donor2,0,0,0,0,0
4,K562 BCMA,donor2,1.063681,2.16042,1.696168,1.61912,2.088493
8,K562 BCMA,donor2,1.400071,2.797871,2.12241,2.357151,1.934162
12,K562 BCMA,donor2,1.933269,3.740226,3.299214,3.811398,2.756036
16,K562 BCMA,donor2,3.493662,5.157438,4.448811,5.45341,3.901517
20,K562 BCMA,donor2,3.659349,7.695471,5.465774,7.209337,5.068758
24,K562 BCMA,donor2,4.477776,9.055011,7.993904,10.31277,6.47555
28,K562 BCMA,donor2,5.404159,10.46042,9.520152,12.28533,8.035683
32,K562 BCMA,donor2,7.169609,12.00081,11.31351,14.11593,10.51865
36,K562 BCMA,donor2,9.010755,14.77996,15.79768,18.37862,13.22349
40,K562 BCMA,donor2,10.74255,17.04551,18.37647,21.13941,15.54784
44,K562 BCMA,donor2,14.21319,19.4604,22.36266,24.18458,19.70793
48,K562 BCMA,donor2,16.56995,23.44609,29.58608,29.94657,26.51365
52,K562 BCMA,donor2,22.0648,25.80391,33.6344,33.91888,30.22424
56,K562 BCMA,donor2,24.81262,29.12308,39.22315,36.44669,37.74925
60,K562 BCMA,donor2,33.29725,32.60497,47.95795,41.62869,43.90095
64,K562 BCMA,donor2,40.16832,36.19847,52.77988,44.30638,47.77409
68,K562 BCMA,donor2,50.68682,36.88973,59.92063,47.20971,61.16444
72,K562 BCMA,donor2,56.05946,37.46096,68.3501,51.01889,66.17524
0,Raji,donor2,0,0,0,0,0
4,Raji,donor2,2.18754,0.9542363,2.007815,1.308275,1.949323
8,Raji,donor2,1.132557,0.9910056,1.538624,1.592043,0.9587414
12,Raji,donor2,1.637583,1.541918,2.543943,1.650982,2.126457
16,Raji,donor2,2.660175,2.132745,3.172916,2.679219,2.256323
20,Raji,donor2,3.45431,1.890388,3.588515,3.153692,2.699615
24,Raji,donor2,3.895898,2.919007,3.334506,2.843333,2.97477
28,Raji,donor2,5.258821,3.383533,3.810067,2.882443,4.136408
32,Raji,donor2,4.904293,3.423635,4.430852,3.601181,4.035438
36,Raji,donor2,6.300014,4.198117,5.284053,4.200287,5.676266
40,Raji,donor2,6.598678,4.485722,5.152369,4.33674,6.431958
44,Raji,donor2,8.807079,4.693163,6.001264,4.687427,7.321934
48,Raji,donor2,10.33728,5.543574,6.420656,4.76001,8.333847
52,Raji,donor2,12.68251,6.022515,7.199278,5.035073,9.868057
56,Raji,donor2,15.66574,6.500171,7.394064,5.519525,11.27671
60,Raji,donor2,17.16768,7.859429,8.794158,5.989579,13.21896
64,Raji,donor2,20.18229,8.421203,9.66475,6.661335,14.9074
68,Raji,donor2,25.66886,9.778173,10.9689,7.876779,18.27506
72,Raji,donor2,24.41385,11.63411,11.72249,7.62968,20.50865
0,RPMI-8226,donor2,0,0,0,0,0
4,RPMI-8226,donor2,0.9484431,0.8306223,0.9891313,2.03757,1.047058
8,RPMI-8226,donor2,1.25614,1.888182,1.582258,2.739918,1.709668
12,RPMI-8226,donor2,1.438234,2.34703,1.947477,3.053283,2.587108
16,RPMI-8226,donor2,2.37108,2.974984,2.402756,3.294732,2.944366
20,RPMI-8226,donor2,2.538124,2.992271,2.801758,3.236288,2.919886
24,RPMI-8226,donor2,2.816453,2.58737,2.55554,2.945699,3.504722
28,RPMI-8226,donor2,3.361149,2.200998,2.299562,2.797648,3.755933
32,RPMI-8226,donor2,3.968855,1.755148,2.477756,3.167936,4.082813
36,RPMI-8226,donor2,4.078217,1.765649,2.419979,2.402569,4.02176
40,RPMI-8226,donor2,4.736035,1.681733,1.993983,2.077668,4.312268
44,RPMI-8226,donor2,6.020812,1.383959,2.143509,1.729694,4.484869
48,RPMI-8226,donor2,6.859159,0.9046597,2.061016,1.080898,4.346421
52,RPMI-8226,donor2,8.575757,0.6518724,2.280634,0.9373502,4.077314
56,RPMI-8226,donor2,10.21587,0.5663362,1.949772,0.7307767,4.046907
60,RPMI-8226,donor2,11.39503,0.4549257,1.759749,0.5003474,3.710063
64,RPMI-8226,donor2,13.23963,0.4061366,1.326439,0.4014099,3.884446
68,RPMI-8226,donor2,15.77906,0.3960274,1.611531,0.3810661,3.441715
72,RPMI-8226,donor2,15.98897,0.3161353,1.52233,0.4491863,3.027866
0,K562,donor3,0,0,0,0,0
4,K562,donor3,2.210693,0.9141724,0.6806578,1.312384,1.391899
8,K562,donor3,1.861898,1.327772,1.036992,1.614019,2.178767
12,K562,donor3,2.580467,1.861151,1.593635,1.743786,2.804482
16,K562,donor3,3.479614,2.164986,1.541187,1.750097,2.241686
20,K562,donor3,4.191782,3.092625,2.625987,2.765446,3.14089
24,K562,donor3,4.585946,3.474134,3.128357,3.103599,5.553942
28,K562,donor3,5.675548,4.588832,3.655509,4.024118,6.452106
32,K562,donor3,7.250448,4.879738,4.423666,5.011288,7.808819
36,K562,donor3,7.274838,4.447946,5.46012,6.5268,7.142681
40,K562,donor3,8.816734,6.609507,7.035901,7.437236,11.89215
44,K562,donor3,11.82837,7.380278,8.667887,10.60199,11.66686
48,K562,donor3,14.44695,8.43951,11.2366,12.32861,13.19771
52,K562,donor3,18.12844,11.3954,12.68017,14.8793,16.59225
56,K562,donor3,21.50728,12.76884,14.45665,19.76274,17.6329
60,K562,donor3,25.9308,15.76498,17.96214,20.99704,23.32403
64,K562,donor3,29.1698,76.45185,23.26832,25.70805,28.81118
68,K562,donor3,32.8797,30.54636,27.60074,29.1554,33.86493
72,K562,donor3,44.10295,36.44203,32.66421,35.28727,38.95289
0,K562 BCMA,donor3,0,0,0,0,0
4,K562 BCMA,donor3,0.8006831,0.7984707,0.6936067,0.733269,1.086265
8,K562 BCMA,donor3,2.275576,2.026309,1.405733,0.9445691,1.89886
12,K562 BCMA,donor3,2.30667,2.90857,2.35471,1.870713,2.617848
16,K562 BCMA,donor3,3.031037,4.626568,3.034242,3.304659,3.152325
20,K562 BCMA,donor3,4.112214,6.198895,4.928466,6.282875,4.070473
24,K562 BCMA,donor3,5.59311,8.379838,5.452168,8.972945,5.3103
28,K562 BCMA,donor3,6.070513,10.89935,7.334561,10.87603,6.488381
32,K562 BCMA,donor3,8.071236,14.2347,11.37636,10.95602,8.224422
36,K562 BCMA,donor3,12.3742,18.75634,13.1561,13.73012,9.912059
40,K562 BCMA,donor3,17.00202,21.37665,18.50398,16.42838,11.29552
44,K562 BCMA,donor3,17.8469,25.2962,24.35838,19.22381,14.41084
48,K562 BCMA,donor3,22.51276,28.90255,26.73404,24.14797,18.169
52,K562 BCMA,donor3,31.3181,31.58113,31.37015,29.44491,24.20011
56,K562 BCMA,donor3,37.06301,35.27854,40.10299,32.6709,31.26363
60,K562 BCMA,donor3,46.29003,38.79237,37.33718,38.62411,38.76891
64,K562 BCMA,donor3,57.38568,48.68054,40.70158,42.20654,46.36206
68,K562 BCMA,donor3,65.89966,46.84775,47.83671,46.1223,60.36325
72,K562 BCMA,donor3,75.88104,47.97737,39.69623,52.91639,73.71287
0,Raji,donor3,0,0,0,0,0
4,Raji,donor3,0.8843095,1.402122,5.616974,4.030062,6.682245
8,Raji,donor3,0.888824,1.546703,5.709661,0.3103221,2.992913
12,Raji,donor3,2.010494,1.982659,5.439304,4.416226,3.326426
16,Raji,donor3,0.9612874,1.456562,2.094385,0.6539356,1.964525
20,Raji,donor3,1.524712,2.315618,2.453306,1.620829,2.158167
24,Raji,donor3,1.29686,3.09588,6.052353,4.889106,4.919736
